company_name,company_domain,playbook_name,location
Moeller Aerospace,moeller-aerospace.com,Luft- & Raumfahrt / Defense,USA
RivCut,rivcut.com,Luft- & Raumfahrt / Defense,USA
Ace Precision Machining,aceprecision.com,Luft- & Raumfahrt / Defense,USA
OGS Industries,ogsindustries.com,Luft- & Raumfahrt / Defense,USA
Miller CNC,millercnc.com,Luft- & Raumfahrt / Defense,USA
AeroCision India,aerocisionindia.com,Luft- & Raumfahrt / Defense,India
Samarth Precision,samarthprecision.com,Luft- & Raumfahrt / Defense,India
Eigen Engineering,eigenengineering.com,Luft- & Raumfahrt / Defense,India
Hindustan Aeronautics Limited,hal-india.co.in,Luft- & Raumfahrt / Defense,India
Dynamatic Technologies,dynamatics.com,Luft- & Raumfahrt / Defense,India
Tata Advanced Systems,tataadvancedsystems.com,Luft- & Raumfahrt / Defense,India
Harmonic Drive LLC,harmonicdrive.net,Robotik & Antriebstechnik,USA
Supreme Gear,supremegear.com,Robotik & Antriebstechnik,USA
Precipart,precipart.com,Robotik & Antriebstechnik,USA
SDP/SI,sdp-si.com,Robotik & Antriebstechnik,USA
Boston Gear,bostongear.com,Antrieb & E-Mobilität,USA
GearTec,geartec.com,Antrieb & E-Mobilität,USA
AmTech OEM,amtechoem.com,Antrieb & E-Mobilität,USA
Gear Motions,gearmotions.com,Antrieb & E-Mobilität,USA
Ondrives.US,ondrivesus.com,Antrieb & E-Mobilität,USA
Atlanta Gear Works,atlantagearworks.com,Antrieb & E-Mobilität,USA
Shanthi Gears,shanthigears.com,Antrieb & E-Mobilität,India
Kinetic Engineering,kineticindia.com,Antrieb & E-Mobilität,India
Divgi TorqTransfer Systems,divgitts.com,Antrieb & E-Mobilität,India
Sansera Engineering,sansera.in,Antrieb & E-Mobilität,India
Bharat Forge,bharatforge.com,Antrieb & E-Mobilität,India
Norman Noble,nnoble.com,Medizintechnik,USA
Hammill Medical,hammillmedical.com,Medizintechnik,USA
Marver Med,marvermed.com,Medizintechnik,USA
RevZero,revzeroinc.com,Medizintechnik,USA
Acrotec MedTech,acrotec-medtech.com,Medizintechnik,USA
Unitritech India,unitritech.com,Medizintechnik,India
Global Precision,globalprecision.in,Medizintechnik,India
Bonetech Medisys,bonetechmedisys.com,Medizintechnik,India
Gilman Precision,gilmanprecision.com,Maschinen- & Werkzeugbau,USA
Precision Gears Inc,precisiongears.com,Maschinen- & Werkzeugbau,USA
Donson Machine,donsonmachine.com,Maschinen- & Werkzeugbau,USA
Precision Grinding Industries,precision-grinding.com,Maschinen- & Werkzeugbau,USA
Worley Machine Enterprises,worleymachine.com,Maschinen- & Werkzeugbau,USA
Allied Precision,alliedprecisionusa.com,Maschinen- & Werkzeugbau,USA
Aequs,aequs.com,Maschinen- & Werkzeugbau,India
NGC Americas,ngcamericas.com,Windkraft & Schwerindustrie,USA
Regal Rexnord,regalrexnord.com,Windkraft & Schwerindustrie,USA
Elecon Engineering,elecon.com,Windkraft & Schwerindustrie,India
Winergy,winergy-group.com,Windkraft & Schwerindustrie,India
